id,comment,description,element_set_id,name,order,url
1,,Any textual data included in the document,3,Text,,http://cannabismuseum.com/omeka/api/elements/1
4,,The Physical Location of the Item,3,Location,,http://cannabismuseum.com/omeka/api/elements/4
5,,Any written text transcribed from a sound,3,Transcription,,http://cannabismuseum.com/omeka/api/elements/5
6,,The URL of the local directory containing all assets of the website,3,Local URL,,http://cannabismuseum.com/omeka/api/elements/6
7,,"The type of object, such as painting, sculpture, paper, photo, and additional data",3,Original Format,,http://cannabismuseum.com/omeka/api/elements/7
10,,The actual physical size of the original image,3,Physical Dimensions,,http://cannabismuseum.com/omeka/api/elements/10
11,,"Length of time involved (seconds, minutes, hours, days, class periods, etc.)",3,Duration,,http://cannabismuseum.com/omeka/api/elements/11
12,,Type/rate of compression for moving image file (i.e. MPEG-4),3,Compression,,http://cannabismuseum.com/omeka/api/elements/12
13,,Name (or names) of the person who produced the video,3,Producer,,http://cannabismuseum.com/omeka/api/elements/13
14,,Name (or names) of the person who produced the video,3,Director,,http://cannabismuseum.com/omeka/api/elements/14
16,,A summary of an interview given for different time stamps throughout the interview,3,Time Summary,,http://cannabismuseum.com/omeka/api/elements/16
22,,The name(s) and email address(es) of the person to whom the email was blind carbon copied,3,BCC,,http://cannabismuseum.com/omeka/api/elements/22
24,,,3,Standards,,http://cannabismuseum.com/omeka/api/elements/24
26,,,3,Materials,,http://cannabismuseum.com/omeka/api/elements/26
28,,,3,URL,,http://cannabismuseum.com/omeka/api/elements/28
29,,,3,Event Type,,http://cannabismuseum.com/omeka/api/elements/29
30,,Names of individuals or groups participating in the event,3,Participants,,http://cannabismuseum.com/omeka/api/elements/30
31,,Standard Format: YYYY-MM-DD,3,Birth Date,,http://cannabismuseum.com/omeka/api/elements/31
32,,,3,Birthplace,,http://cannabismuseum.com/omeka/api/elements/32
33,,Standard Format: YYYY-MM-DD,3,Death Date,,http://cannabismuseum.com/omeka/api/elements/33
34,,,3,Occupation,,http://cannabismuseum.com/omeka/api/elements/34
35,,,3,Biographical Text,,http://cannabismuseum.com/omeka/api/elements/35
36,,,3,Bibliography,,http://cannabismuseum.com/omeka/api/elements/36
37,,An entity responsible for making contributions to the resource,1,Contributor,4,http://cannabismuseum.com/omeka/api/elements/37
38,,"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant",1,Coverage,15,http://cannabismuseum.com/omeka/api/elements/38
39,Author for Books & Manuscripts. Manufacturer for items such as Containers. Artist for works of Art.,An entity primarily responsible for making the resource,1,Creator,2,http://cannabismuseum.com/omeka/api/elements/39
40,Standard Format: YYYY-MM-DD,A point or period of time associated with an event in the lifecycle of the resource,1,Date,6,http://cannabismuseum.com/omeka/api/elements/40
41,,An account of the resource,1,Description,3,http://cannabismuseum.com/omeka/api/elements/41
42,"Book format: Hardback, Paperback, etc. Also can choose from Glass, Metal, Paper, Cardboard, etc.","The file format, physical medium, or dimensions of the resource",1,Format,8,http://cannabismuseum.com/omeka/api/elements/42
43,"For Books, this is ISBN.",An unambiguous reference to the resource within a given context,1,Identifier,11,http://cannabismuseum.com/omeka/api/elements/43
44,,A language of the resource,1,Language,7,http://cannabismuseum.com/omeka/api/elements/44
45,,An entity responsible for making the resource available,1,Publisher,10,http://cannabismuseum.com/omeka/api/elements/45
46,Links to other related resources such as document details,A related resource,1,Relation,5,http://cannabismuseum.com/omeka/api/elements/46
47,,Information about rights held in and over the resource,1,Rights,13,http://cannabismuseum.com/omeka/api/elements/47
48,,A related resource from which the described resource is derived,1,Source,12,http://cannabismuseum.com/omeka/api/elements/48
49,,The topic of the resource,1,Subject,9,http://cannabismuseum.com/omeka/api/elements/49
50,A reasonable name for the item.,A name given to the resource,1,Title,1,http://cannabismuseum.com/omeka/api/elements/50
51,,The nature or genre of the resource,1,Type,14,http://cannabismuseum.com/omeka/api/elements/51
52,,"Substance of which the container is comprised, e.g.: glass, cardboard, etc.",3,Structure,,http://cannabismuseum.com/omeka/api/elements/52
53,,,3,Container Color,,http://cannabismuseum.com/omeka/api/elements/53
54,,ID# from Access DB,3,Old Database ID,,http://cannabismuseum.com/omeka/api/elements/54
55,,,3,Checked Inventory,,http://cannabismuseum.com/omeka/api/elements/55
56,,Old field from Access DB,3,Sample,,http://cannabismuseum.com/omeka/api/elements/56
57,,OLD Physical location of the object,3,Physical Location,,http://cannabismuseum.com/omeka/api/elements/57
58,,,3,Material ID,,http://cannabismuseum.com/omeka/api/elements/58
59,,ID Number of the glass color.,3,ColorID,,http://cannabismuseum.com/omeka/api/elements/59
60,,Container Label,3,Label,,http://cannabismuseum.com/omeka/api/elements/60
61,,Old Bottle description field from Access DB,3,Lid Type,,http://cannabismuseum.com/omeka/api/elements/61
62,,"An ""Extra"" Description field of the item. If this field is populated then it needs copied to the Dublin Core Description field for later eradication of this field",3,Description,,http://cannabismuseum.com/omeka/api/elements/62
63,,Old Bottle description field from Access DB,3,Writing On Container,,http://cannabismuseum.com/omeka/api/elements/63
64,,,3,Bottle Description,,http://cannabismuseum.com/omeka/api/elements/64
65,,Entity responsible for making the item,3,Manufacturer,,http://cannabismuseum.com/omeka/api/elements/65
66,,Old Bottle description field from Access DB,3,SPPECD,,http://cannabismuseum.com/omeka/api/elements/66
67,,,3,Seal and Contents,,http://cannabismuseum.com/omeka/api/elements/67
68,,,3,Notes,,http://cannabismuseum.com/omeka/api/elements/68
69,,Physical Dimensions of the Object,3,Dimensions,,http://cannabismuseum.com/omeka/api/elements/69
70,,,3,Category,,http://cannabismuseum.com/omeka/api/elements/70
71,,Note on bottle that matches,3,Matches Other Bottles,,http://cannabismuseum.com/omeka/api/elements/71
72,,,3,Container Set,,http://cannabismuseum.com/omeka/api/elements/72
73,,,3,Includes Packaging,,http://cannabismuseum.com/omeka/api/elements/73
74,,,3,Wax Paper Wrapping,,http://cannabismuseum.com/omeka/api/elements/74
