Printed SS-Horowitz Collection SS-Previous Collection Working-Leary     ,Printed,SS-Previous Collection,SS-Horowitz Collection,,Working-Leary,,,,,Max Decharne,11.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7675,2020.0,Straight from the Fridge, Dad
2010s        ,2010s,,,,,,,,,Michelle Newhart,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1136,2018.0,The Medicalization of Marijuana: Legitimacy, Stigma, and the Patient Experience
Printed SS-Horowitz Collection SS-Previous Collection Working-Leary     ,Printed,SS-Previous Collection,SS-Horowitz Collection,,Working-Leary,,,,,Ralph Metzner,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7783,2017.0,The Psychedelic Experience
2010s GuestRoom5-2 Printed      ,2010s,Printed,GuestRoom5-2,,,,,,,Kayo,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1773,2015.0,Sinsemilla Technique
HannahBkShelf-53 Printed       ,HannahBkShelf-53,,Printed,,,,,,,Mae Brussell,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/6169,2014.0,The Essential Mae Brussell
2010s GuestRoom2-7 Printed      ,2010s,Printed,GuestRoom2-7,,,,,,,Alyson Martin,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1318,2014.0,A New Leaf
2010s        ,2010s,,,,,,,,,Dale Gieringer,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/2069,2013.0,California NORML Guide to Drug Testing
1800s 2010s Nineteenth Century Printed SS-Horowitz Collection SS-Previous Collection Working-Leary  ,1800s,Nineteenth Century,2010s,SS-Horowitz Collection,Printed,Working-Leary,SS-Previous Collection,,,Mike Jay,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7750,2012.0,Drugs in the Nineteenth Century
2010s GuestRoom2-7 Printed      ,2010s,Printed,GuestRoom2-7,,,,,,,Evan Wright,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1395,2011.0,American Desperado
2010s GuestRoom5-1 Printed      ,2010s,Printed,GuestRoom5-1,,,,,,,Dr. Seymour Greenbud,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1888,2010.0,Green Weed
2000s GuestRoom1-5 Printed      ,2000s,Printed,GuestRoom1-5,,,,,,,H.P. Albarelli  Jr.,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1152,2009.0,A Terrible Mistake
Printed SS-Horowitz Collection SS-Previous Collection Working-Leary     ,Printed,SS-Previous Collection,SS-Horowitz Collection,,Working-Leary,,,,,Mary Sativa,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7868,2008.0,Acid Temple Ball
2000s Heroin Illustrated Printed SS-Horowitz Collection SS-Previous Collection Working-Leary  ,2000s,Illustrated,Heroin,SS-Horowitz Collection,Printed,Working-Leary,SS-Previous Collection,,,Michael Largo,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7767,2008.0,Genius and Heroin: The Illustrated Catalogue of Creativity, Obsession, and Reckless Abandon Through the Ages
2000s GuestRoom4-4 Printed      ,2000s,Printed,GuestRoom4-4,,,,,,,Leslie L. Iversen,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1892,2007.0,The Science of Marijuana
2000s GuestRoom6-2 Printed      ,2000s,Printed,GuestRoom6-2,,,,,,,Roger Steffens,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1357,2007.0,The Reggae Scrapbook
        ,,,,,,,,,,Tim Pilcher,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/2233,2007.0,The Cannabis Cookbook
GuestRoom2-5 Printed       ,GuestRoom2-5,,Printed,,,,,,,Christine Van Tuyl,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/2169,2007.0,Marijuana (Introducing Issues With Opposing Viewpoints)
2000s GuestRoom7-2 Printed      ,2000s,Printed,GuestRoom7-2,,,,,,,G. Laverne Crowell,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1531,2006.0,Icex Intelligence
2000s Cannabis Cultivation Grow GuestRoom5-2 Guide Printed  ,2000s,Cultivation,Cannabis,GuestRoom5-2,Grow,Printed,Guide,,,Mel,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/2111,2005.0,Cannabis Cultivation: A Complete Grower's Guide
Printed SS-Horowitz Collection SS-Previous Collection Working-Leary     ,Printed,SS-Previous Collection,SS-Horowitz Collection,,Working-Leary,,,,,Clifford A. Pickover,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7848,2005.0,Sex, Drugs, Einstein & Elves: Sushi, Psychedelics, Parallel Universes and the Quest for Transcendence
2000s GuestRoom4-1 Printed      ,2000s,Printed,GuestRoom4-1,,,,,,,Shazzie,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1637,2005.0,Naked Chocolate
2000s GuestRoom5-2 Printed      ,2000s,Printed,GuestRoom5-2,,,,,,,Soma,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/2089,2005.0,Organic Marijuana, Soma Style: The Pleasures of Cultivating Connoisseur Cannabis (Marijuana Tips)
2000s NewHo Prnted      ,2000s,Prnted,NewHo,,,,,,,Myron J. Stolaroff,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1186,2005.0,The Secret Chief Revealed
2000s Baghdad GuestRoom7-2 Iraq Printed    ,2000s,GuestRoom7-2,Baghdad,Printed,Iraq,,,,,Peggy Gish,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1691,2004.0,Iraq: A Journey Of Hope And Peace
2000s        ,2000s,,,,,,,,,Hendrik Geels,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1481,2004.0,The Blessed Herb: Medicinal Cannabis Users in Their Own Words
Printed SS-Horowitz Collection SS-Previous Collection Working-Leary     ,Printed,SS-Previous Collection,SS-Horowitz Collection,,Working-Leary,,,,,Harry Shapiro,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7876,2003.0,Waiting for the Man: The Story of Drugs and Popula
2000s GuestRoom3-6 Printed      ,2000s,Printed,GuestRoom3-6,,,,,,,Richard Morris,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1963,2003.0,The Last Sorcerers
2000s Baghdad George W. Bush GuestRoom7-2 Iraq Printed Propaganda Psychology War Resistance,2000s,George W. Bush,Baghdad,Iraq,GuestRoom7-2,Propaganda,Printed,War Resistance,Psychology,John Stauber,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1694,2003.0,Weapons of Mass Deception: The Uses of Propaganda in Bush's War on Iraq
GuestRoom1-4 Printed       ,GuestRoom1-4,,Printed,,,,,,,Nick Brownlee,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/2194,2003.0,The Complete Illustrated Guide to Cannabis
2000s        ,2000s,,,,,,,,,Antony C. Sutton,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1141,2003.0,America's Secret Establishment
2000s        ,2000s,,,,,,,,,Mike Gray,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1984,2003.0,The Death Game: Capital Punishment and the Luck of the Draw
2000s Fiber GuestRoom5-3 Printed     ,2000s,GuestRoom5-3,Fiber,,Printed,,,,,Paul Benhaim,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/1119,2003.0,A Modern Introduction to Hemp
2000s Authors Drug Use Printed SS-Horowitz Collection SS-Previous Collection Working-Leary  ,2000s,Drug Use,Authors,SS-Horowitz Collection,Printed,Working-Leary,SS-Previous Collection,,,Marcus Boon,1.0,,,,,,,,,,,,http://cannabismuseum.com/omeka/api/items/7635,2002.0,The Road of Excess: A History of Writers on Drugs
