Creator,Year,MonthText,Title,tags,url
Robert G. Schmidt,2020,11,Memoirs of the Legendary Cannabis Cowboy,Autobiography;Biography,http://cannabismuseum.com/omeka/api/items/2208
Robert G. Schmidt,2020,11,Memoirs of the Legendary Cannabis Cowboy,Autobiography;Biography;HannahBkShelf-75;Printed,http://cannabismuseum.com/omeka/api/items/5853
Galleria Photology,2020,11,Beat & Pieces,Beat Generation;Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7851
Max Decharne,2020,11,"Straight from the Fridge, Dad",Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7675
Martin Booth,2020,6,Cannabis,GuestRoom2-5;Printed,http://cannabismuseum.com/omeka/api/items/2220
Finley Ellingwood,2020,3,"American Materia Medica, Therapeutics and Pharmacognosy",Cincinnati;Drugs;HannahBkShelf-42;John Uri  Lloyd;Lloyd Brothers;Materia Medica;Medical;Needs Photo;Ohio;Pharmacology;Plants;Printed;Therapeutics,http://cannabismuseum.com/omeka/api/items/6159
Sebastin Marincolo,2020,3,High,HannahBkShelf-52;Printed,http://cannabismuseum.com/omeka/api/items/6187
Satty,2020,3,Visions of Frisco,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7870
Michelle Laliberte,2020,3,Marijuana: A MyReportLinks.com book (Drugs),GuestRoom2-5;Printed,http://cannabismuseum.com/omeka/api/items/2241
Michelle Laliberte,2020,3,Marijuana: A MyReportLinks.com book (Drugs),HannahBkShelf-53;Printed,http://cannabismuseum.com/omeka/api/items/6092
W. Scott Ingram,2020,1,Marijuana,GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2170
Michael Krawitz,"2019

",1,Cannabis & Sustainable Development,2010s;Agriculture;Austria;Cannabis;Drug Policy Reform;Food;HannahBkShelf-54;Health;Hemp;Human Rights;Justice;Law;Printed;Vienna,http://cannabismuseum.com/omeka/api/items/6009
Madeline FFitch,"2019
",1,Stay and Fight ,2010s;HannahBkShelf-62;Needs Photo;Printed,http://cannabismuseum.com/omeka/api/items/3758
Anis Shivani,"2019
",1,Whatever Speaks on Behalf of Hashish ,2010s;HannahBkShelf-78;Hash;Hasheesh;Hashish;Needs Photo;Printed,http://cannabismuseum.com/omeka/api/items/5710
Samuel Hopkins Adams,"2019
",1,The Great American fraud: Articles on the Nostrum Evil and Quacks ,1900s;2010s;HannahBkShelf-77;Needs Photo;Nostrum;Printed,http://cannabismuseum.com/omeka/api/items/3494
Michelle Newhart,2018,1,"The Medicalization of Marijuana: Legitimacy, Stigma, and the Patient Experience",2010s,http://cannabismuseum.com/omeka/api/items/1136
Michelle Newhart,2018,1,"The Medicalization of Marijuana: Legitimacy, Stigma, and the Patient Experience",,http://cannabismuseum.com/omeka/api/items/2295
Michelle Newhart,2018,1,"The Medicalization of Marijuana: Legitimacy, Stigma, and the Patient Experience",2010s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5717
Michelle Newhart,2018,1,"The Medicalization of Marijuana: Legitimacy, Stigma, and the Patient Experience",HannahBkShelf-52;Printed,http://cannabismuseum.com/omeka/api/items/6175
Wayne Kramer,2018,1,"The Hard Stuff: Dope, Crime, the MC5, and My Life of Impossibilities",2010s;Crime;Detroit;Dope;MC5;Rock Band,http://cannabismuseum.com/omeka/api/items/1123
Wayne Kramer,2018,1,"The Hard Stuff: Dope, Crime, the MC5, and My Life of Impossibilities",2010s;Crime;Detroit;Dope;HannahBkShelf-64;Printed;Rock Band,http://cannabismuseum.com/omeka/api/items/5714
Jennifer Ulrich,2018,1,The Timothy Leary Project,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7902
Petrie Nicholas,2018,1,Light It Up,GuestRoom7-1;Printed,http://cannabismuseum.com/omeka/api/items/2242
Gregory L. Smith  MD,2017,1,CBD: What You Need to Know,2010s,http://cannabismuseum.com/omeka/api/items/5872
Ralph Metzner,2017,1,The Psychedelic Experience,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7783
Ralph Metzner,2017,1,The Psychedelic Experience,Printed;SS-Horowitz Collection;SS-Previous Collection;Working-Leary,http://cannabismuseum.com/omeka/api/items/7784
Ashley Picillo,2017,1,Breaking the Grass Ceiling,2010s,http://cannabismuseum.com/omeka/api/items/1826
Ashley Picillo,2017,1,Breaking the Grass Ceiling,2010s;HannahBkShelf-67;Printed,http://cannabismuseum.com/omeka/api/items/5807
Michelle Sexton,2017,1,Cannabis Use Survey,2010s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/1827
Michelle Sexton,2017,1,Cannabis Use Survey,2010s;GuestRoom4-4;Printed,http://cannabismuseum.com/omeka/api/items/2144
Anne Angelone ,"2016
",1,Beyond Cannabis ,2010s;Cannabinoid;Cannabis;HannahBkShelf-34;Needs Photo;Printed,http://cannabismuseum.com/omeka/api/items/6670
